corpus,dialogue_id,uID,pairID,upairID,speaker,role,speaker_name,utterance,MLU,pos_tag,age,age_months,age_group
Brown,Brown_under_2/011000a.xml,u9,1,0,COL,Investigator,Colin,okay ?,3.846,co,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u10,1,1,COL,Investigator,Colin,I'll bring them on Wednesday when Cromer comes .,3.846,pro:sub v pro:obj prep n:prop conj n:prop v,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u25,2,0,MOT,Mother,Sue,where's Cromer ?,3.771,pro:int n:prop,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u26,2,1,MOT,Mother,Sue,oh Cromer's at home .,3.771,co n:prop prep n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u37,3,0,MOT,Mother,Sue,get your crayons ?,3.771,v det:poss n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u38,3,1,MOT,Mother,Sue,well get the box .,3.771,co v det:art n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u96,4,0,MOT,Mother,Sue,Papa's desk ?,3.771,adj n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u97,4,1,MOT,Mother,Sue,no .,3.771,co,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u124,5,0,MOT,Mother,Sue,well it's already out isn't it ?,3.771,co pro:per adv adv cop pro:per,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u125,5,1,MOT,Mother,Sue,that's it .,3.771,pro:dem pro:per,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u280,6,0,MOT,Mother,Sue,xxx the turtle ?,3.771,det:art n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u281,6,1,MOT,Mother,Sue,I don't know .,3.771,pro:sub mod v,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u292,7,0,MOT,Mother,Sue,a check ?,3.771,det:art n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u293,7,1,MOT,Mother,Sue,say check .,3.771,co v,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u295,8,0,MOT,Mother,Sue,check ?,3.771,n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u296,8,1,MOT,Mother,Sue,say check .,3.771,co v,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u375,9,0,COL,Investigator,Colin,oh you're dancing ?,3.846,co pro:per part,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u376,9,1,COL,Investigator,Colin,I'm sorry .,3.846,pro:sub adj,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u384,10,0,MOT,Mother,Sue,pinch xxx finger ?,3.771,n n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u385,10,1,MOT,Mother,Sue,no I didn't pinch my finger .,3.771,co pro:sub mod v det:poss n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u388,11,0,MOT,Mother,Sue,oh when I said darn_it ?,3.771,co conj pro:sub v co,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u389,11,1,MOT,Mother,Sue,no I dropped the butter .,3.771,co pro:sub v det:art n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u399,12,0,MOT,Mother,Sue,on the floor of Mom's kitchen ?,3.771,prep det:art n prep adj n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u400,12,1,MOT,Mother,Sue,well I'll get it .,3.771,co pro:sub aux pro:per,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u434,13,0,MOT,Mother,Sue,what did I do with your cup Eve ?,3.771,pro:int mod pro:sub v prep det:poss n n:prop,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u435,13,1,MOT,Mother,Sue,oh there it is .,3.771,co n pro:per cop,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u494,14,0,MOT,Mother,Sue,my foot's stuck ?,3.771,det:poss n part,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u495,14,1,MOT,Mother,Sue,no it's not .,3.771,co pro:per neg,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u500,15,0,MOT,Mother,Sue,what are we having ?,3.771,pro:int cop pro:sub part,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u502,15,1,MOT,Mother,Sue,you eating your,3.771,pro:per part det:poss,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u508,16,0,MOT,Mother,Sue,eating chocolate ice_cream ?,3.771,part n n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u509,16,1,MOT,Mother,Sue,we're not eating chocolate ice_cream now .,3.771,pro:sub neg part n n adv:tem,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u545,17,0,MOT,Mother,Sue,giving Papa this one ?,3.771,part n:prop det:dem pro:indef,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u546,17,1,MOT,Mother,Sue,alright .,3.771,co,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u587,18,0,MOT,Mother,Sue,you think it's downstairs ?,3.771,pro:per v pro:per,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u588,18,1,MOT,Mother,Sue,I think it's upstairs .,3.771,pro:sub v pro:per,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u610,19,0,MOT,Mother,Sue,bring his coat ?,3.771,v det:poss n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u611,19,1,MOT,Mother,Sue,alright .,3.771,co,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u629,20,0,MOT,Mother,Sue,did you drop them ?,3.771,mod pro:per v pro:obj,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u630,20,1,MOT,Mother,Sue,oh goodness .,3.771,co co,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u748,21,0,COL,Investigator,Colin,this one's going for a walk eh ?,3.846,pro:dem pro:indef part prep det:art n co,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u749,21,1,COL,Investigator,Colin,I think the Papa's going to come back .,3.846,pro:sub v det:art n:prop part inf v adv,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u796,22,0,MOT,Mother,Sue,did you find it ?,3.771,mod pro:per v pro:per,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u797,22,1,MOT,Mother,Sue,good .,3.771,adj,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u800,23,0,COL,Investigator,Colin,what are you doing Eve ?,3.846,pro:int aux pro:per part n:prop,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u801,23,1,COL,Investigator,Colin,oh we have other things .,3.846,co pro:sub v qn n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u918,24,0,MOT,Mother,Sue,cheese please ?,3.771,n co,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u919,24,1,MOT,Mother,Sue,let's move your highchair .,3.771,v v det:poss,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u962,25,0,MOT,Mother,Sue,chocolate ?,3.771,n,P1Y10M00D,22.0,12-23 months
Brown,Brown_under_2/011000a.xml,u963,25,1,MOT,Mother,Sue,for dessert you may have chocolate .,3.771,prep n pro:per mod v n,P1Y10M00D,22.0,12-23 months
Sachs,Sachs_under_2/011106.xml,u213,1,0,MOT,Mother,,do you want more juice ?,3.96,mod pro:per v qn n,P1Y11M06D,23.0,12-23 months
Sachs,Sachs_under_2/011106.xml,u214,1,1,MOT,Mother,,tell me about the sun .,3.96,v pro:obj prep det:art n,P1Y11M06D,23.0,12-23 months
Sachs,Sachs_under_2/011106.xml,u272,2,0,MOT,Mother,,yes there's a moon but what else is there ?,3.96,co pro:exist det:art n conj pro:int post aux adv,P1Y11M06D,23.0,12-23 months
Sachs,Sachs_under_2/011106.xml,u273,2,1,MOT,Mother,,look there's a duck .,3.96,co pro:exist det:art n,P1Y11M06D,23.0,12-23 months
Sachs,Sachs_under_2/011106.xml,u293,3,0,MOT,Mother,,you want me to tell you ?,3.96,pro:per v pro:obj inf v pro:per,P1Y11M06D,23.0,12-23 months
Sachs,Sachs_under_2/011106.xml,u294,3,1,MOT,Mother,,okay .,3.96,co,P1Y11M06D,23.0,12-23 months
Sachs,Sachs_under_2/011106.xml,u343,4,0,MOT,Mother,,oh does it hurt honey ?,3.96,co mod pro:per v n,P1Y11M06D,23.0,12-23 months
Sachs,Sachs_under_2/011106.xml,u344,4,1,MOT,Mother,,well you hafta go to sleep now and then you'll feel better .,3.96,co pro:per mod v inf v adv:tem coord adv:tem pro:per v adj,P1Y11M06D,23.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u82,1,0,MOT,Mother,,yes Sandy's sitting down isn't he ?,4.876,co n:prop part prep cop pro:sub,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u83,1,1,MOT,Mother,,tell him not to fall over honey .,4.876,v pro:obj neg inf v adv n,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u89,2,0,MOT,Mother,,he's smiling isn't he ?,4.876,pro:sub part cop pro:sub,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u90,2,1,MOT,Mother,,tell him not to fall over .,4.876,v pro:obj neg inf v adv,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u114,3,0,MOT,Mother,,what's what ?,4.876,pro:int pro:int,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u115,3,1,MOT,Mother,,oh that's a sheet honey a sheet .,4.876,co pro:dem det:art n n det:art n,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u157,4,0,MOT,Mother,,well why don't we take the red one off ?,4.876,co pro:int mod pro:sub v det:art n pro:indef adv,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u158,4,1,MOT,Mother,,the one you have on .,4.876,det:art pro:indef pro:per v adv,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u198,5,0,MOT,Mother,,where's the diapers ?,4.876,pro:int det:art n,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/011003.xml,u199,5,1,MOT,Mother,,I put them right up here honey .,4.876,pro:sub v pro:obj adv prep n n,P1Y10M03D,22.0,12-23 months
Sachs,Sachs_under_2/010907.xml,u20,1,0,FAT,Father,,where's the baby ?,3.6,pro:int det:art n,P1Y09M07D,21.0,12-23 months
Sachs,Sachs_under_2/010907.xml,u21,1,1,FAT,Father,,get the baby and bring him to bed .,3.6,v det:art n coord v pro:obj prep n,P1Y09M07D,21.0,12-23 months
Sachs,Sachs_under_2/011019.xml,u25,1,0,FAT,Father,,Nomi can you tell me what that is ?,3.5,n:prop n pro:per v pro:obj pro:int comp cop,P1Y10M19D,23.0,12-23 months
Sachs,Sachs_under_2/011019.xml,u26,1,1,FAT,Father,,tell Daddy .,3.5,v n:prop,P1Y10M19D,23.0,12-23 months
Sachs,Sachs_under_2/011019.xml,u84,2,0,FAT,Father,,it's a funny tricycle isn't it Nomi ?,3.5,pro:per det:art adj n cop pro:per n:prop,P1Y10M19D,23.0,12-23 months
Sachs,Sachs_under_2/011019.xml,u85,2,1,FAT,Father,,that's called an exercycle .,3.5,pro:dem v det:art n,P1Y10M19D,23.0,12-23 months
Sachs,Sachs_under_2/011019.xml,u114,3,0,FAT,Father,,dinnertime ?,3.5,,P1Y10M19D,23.0,12-23 months
Sachs,Sachs_under_2/011019.xml,u115,3,1,FAT,Father,,okay .,3.5,co,P1Y10M19D,23.0,12-23 months
Sachs,Sachs_under_2/011019.xml,u203,4,0,FAT,Father,,what's this ?,3.5,pro:int pro:dem,P1Y10M19D,23.0,12-23 months
Sachs,Sachs_under_2/011019.xml,u204,4,1,FAT,Father,,kitty's mouth .,3.5,adj n,P1Y10M19D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u99,1,0,MOT,Mother,,dupping ?,3.857,bab,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u100,1,1,MOT,Mother,,I don't know what that means .,3.857,pro:sub mod v pro:int det:dem v,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u106,2,0,MOT,Mother,,this girl here ?,3.857,det:dem n adv,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u107,2,1,MOT,Mother,,she's throwing the frisbee .,3.857,pro:sub part det:art n,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u166,3,0,MOT,Mother,,you're sledding right into the flowers huh ?,3.857,pro:per part adv prep det:art n co,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u167,3,1,MOT,Mother,,right into the flowers .,3.857,adv prep det:art n,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u206,4,0,MOT,Mother,,are your hands clean now ?,3.857,cop det:poss n v adv:tem,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u207,4,1,MOT,Mother,,oh they're pretty clean .,3.857,co pro:sub adv adj,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u215,5,0,MOT,Mother,,no ?,3.857,co,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u216,5,1,MOT,Mother,,you look pretty tired to me .,3.857,pro:per v adv part prep pro:obj,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u232,6,0,MOT,Mother,,do you know where you put it ?,3.857,mod pro:per v pro:int pro:per v pro:per,P1Y11M09D,23.0,12-23 months
Sachs,Sachs_under_2/011109.xml,u233,6,1,MOT,Mother,,don't chew on your Daddy's jacket .,3.857,mod v prep det:poss adj n,P1Y11M09D,23.0,12-23 months
Manchester,Manchester_under_2/011115.xml,u31,1,0,MOT,Mother,Mother,and who else is that ?,3.805,coord pro:int post aux pro:dem,P1Y11M15D,23.0,12-23 months
Manchester,Manchester_under_2/011115.xml,u32,1,1,MOT,Mother,Mother,look .,3.805,co,P1Y11M15D,23.0,12-23 months
Manchester,Manchester_under_2/011115.xml,u65,2,0,MOT,Mother,Mother,Carl would you like some more ?,3.805,n:prop mod pro:per v qn adv,P1Y11M15D,23.0,12-23 months
Manchester,Manchester_under_2/011115.xml,u66,2,1,MOT,Mother,Mother,I thought you wanted to read Spot .,3.805,pro:sub v pro:per v inf v n:prop,P1Y11M15D,23.0,12-23 months
