corpus,dialogue_id,uID,pairID,upairID,speaker,role,speaker_name,utterance,context_utterances,MLU,pos_tag,age,age_months
Brown,Brown_under_2/010800.xml,u347,1,0,CHI,Target_Child,Eve,that ?,"CHI: that ?
MOT: what's that ?
CHI: more .
CHI: that ?
CHI: that ?",1.963,comp,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u348,1,1,CHI,Target_Child,Eve,xxx hot .,,1.963,adj,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u349,1,2,MOT,Mother,Sue,it is hot,,3.704,pro:per cop adj,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u663,2,0,CHI,Target_Child,Eve,Mommy that ?,"CHI: xxx Christmas tree cookie .
CHI: that ?
MOT: those are nuts .
MOT: you can't have those .
CHI: nut .",1.963,n:prop comp,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u664,2,1,CHI,Target_Child,Eve,Christmas xxx .,,1.963,n:prop,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u665,2,2,MOT,Mother,Sue,Christmas tree cookies uhhuh .,,3.704,n:prop n n co,P1Y08M00D,20.0
Brown,Brown_under_2/010600a.xml,u1274,1,0,CHI,Target_Child,Eve,that ?,"MOT: oh is Rangy still on the step ?
MOT: you want me to get her ?
MOT: I'll go get her .
CHI: get her .
CHI: get it .",1.521,comp,P1Y06M00D,18.0
Brown,Brown_under_2/010600a.xml,u1275,1,1,CHI,Target_Child,Eve,Lynn letter .,,1.521,n:prop n,P1Y06M00D,18.0
Brown,Brown_under_2/010600a.xml,u1276,1,2,MOT,Mother,Sue,that's Eve's letter .,,3.578,pro:dem adj n,P1Y06M00D,18.0
Brown,Brown_under_2/011100a.xml,u201,1,0,CHI,Target_Child,Eve,where Fraser elbow ?,"CHI: Fraser go eat your lunch .
MOT: Fraser'll go eat his lunch .
MOT: I'll go and have my lunch in a little while .
CHI: xxx elbow right there .
COL: yeah .",2.801,pro:int n:prop n,P1Y11M00D,23.0
Brown,Brown_under_2/011100a.xml,u202,1,1,CHI,Target_Child,Eve,Fraser got under xxx shirt .,,2.801,n:prop v adv n,P1Y11M00D,23.0
Brown,Brown_under_2/011100a.xml,u203,1,2,MOT,Mother,Sue,under his shirt .,,4.221,adv det:poss n,P1Y11M00D,23.0
Brown,Brown_under_2/010900c.xml,u16,1,0,CHI,Target_Child,Eve,that ?,"MOT: maybe Fraser will get your crayons for you .
CHI: no .
MOT: okay Mom'll get your crayons .
MOT: there they are .
CHI: that little one .",2.486,comp,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u17,1,1,CHI,Target_Child,Eve,that Fraser spoon .,,2.486,comp n:prop n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u18,1,2,MOT,Mother,Sue,no this is my spoon .,,3.953,co pro:dem cop det:poss n,P1Y09M00D,21.0
Brown,Brown_under_2/010900a.xml,u52,1,0,CHI,Target_Child,Eve,hm ?,"CHI: give Eve paper .
MOT: your paper's on the table
CHI: baby Sarah sleeping .
MOT: baby Sarah's waking up
MOT: go write some a b c .",2.272,co,P1Y09M00D,21.0
Brown,Brown_under_2/010900a.xml,u53,1,1,CHI,Target_Child,Eve,write a b c Papa .,,2.272,v n:let n:let n:let n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900a.xml,u54,1,2,MOT,Mother,Sue,yes with Papa .,,3.85,co prep n:prop,P1Y09M00D,21.0
Sachs,Sachs_under_2/011018.xml,u86,1,0,CHI,Target_Child,Naomi,what's this ?,"FAT: close it up Nomi .
FAT: close it .
CHI: what's this ?
FAT: that's a rivet .
CHI: rivet .",1.809,pro:int pro:dem,P1Y10M18D,23.0
Sachs,Sachs_under_2/011018.xml,u87,1,1,CHI,Target_Child,Naomi,a rivet .,,1.809,det:art n,P1Y10M18D,23.0
Sachs,Sachs_under_2/011018.xml,u88,1,2,FAT,Father,,another rivet .,,3.442,qn n,P1Y10M18D,23.0
Sachs,Sachs_under_2/011019.xml,u177,1,0,CHI,Target_Child,Naomi,what's this ?,"CHI: kitty's nose .
FAT: what ?
CHI: kitty's nose .
CHI: shadow .
FAT: shadow .",1.662,pro:int pro:dem,P1Y10M19D,23.0
Sachs,Sachs_under_2/011019.xml,u178,1,1,CHI,Target_Child,Naomi,lamb sleep .,,1.662,n n,P1Y10M19D,23.0
