dialogue_id,utt_id,speaker,utterance,%mor,%gra,%adu,%cof
tre02-annotated.txt,0,CHI,that's my water .,pro:dem|that~cop|be&3S pro:poss:det|my n|water .,1|2|SUBJ 2|0|ROOT 3|4|MOD 4|2|PRED 5|2|PUNCT,,
tre02-annotated.txt,1,FAT,that's your water ?,pro:dem|that~cop|be&3S pro:poss:det|your n|water ?,1|2|SUBJ 2|0|ROOT 3|4|MOD 4|2|PRED 5|2|PUNCT,$EXA:that~be $EXA:water $ADD:your $DEL:my $MEXA:~&3s $DIST = 1 $REP = 0.67,$NOT
tre02-annotated.txt,0,CHI,put it in duh boat .,v|put&ZERO pro|it adv|in co|duh n|boat .,1|0|ROOT 2|1|OBJ 3|1|JCT 4|5|COM 5|1|OBJ 6|1|PUNCT,,
tre02-annotated.txt,1,FAT,you put it in the boat ?,pro|you v|put&ZERO pro|it prep|in det|the n|boat ?,1|2|SUBJ 2|0|ROOT 3|2|OBJ 4|2|JCT 5|6|DET 6|4|POBJ 7|2|PUNCT,$EXA:put-it-in $EXA:boat $ADD:you $ADD:the $DEL:duh $MEXA:&zero $DIST = 1 $REP = 0.67,$COF $ERR = synt:subj;$TYP=omission $ERR = umorph:det;$TYP=subst
tre02-annotated.txt,0,CHI,dere's [: there's] water in der [: there] Dada .,pro:exist|there~cop|be&3S n|water prep|in pro:dem|there n:prop|Dada .,1|2|SUBJ 2|0|ROOT 3|2|PRED 4|2|JCT 5|4|POBJ 6|5|APP 7|2|PUNCT,,
tre02-annotated.txt,1,FAT,how did you [//] how come you had water in here ?,adv:wh|how mod|do&PAST rel|how v|come pro|you v|have&PAST n|water adv|in adv|here ?,1|4|LINK 2|4|AUX 3|4|LINK 4|0|ROOT 5|6|SUBJ 6|4|COMP 7|6|OBJ 8|6|JCT 9|6|JCT 10|4|PUNCT,$EXA:water-in $ADD:how-did-how-come-you-had $ADD:here $DEL:there's $DEL:there-dada $DIST = 1 $REP = 0.22,$NOT
tre02-annotated.txt,0,CHI,dere's [: there's] water in dere [: there] Dada .,pro:exist|there~cop|be&3S n|water prep|in pro:dem|there n:prop|Dada .,1|2|SUBJ 2|0|ROOT 3|2|PRED 4|2|JCT 5|4|POBJ 6|5|APP 7|2|PUNCT,,
tre02-annotated.txt,1,FAT,we don't want to spill the water .,pro:sub|we mod|do~neg|not v|want inf|to v|spill det|the n|water .,1|4|SUBJ 2|4|AUX 3|2|NEG 4|0|ROOT 5|6|INF 6|4|XCOMP 7|8|DET 8|6|OBJ 9|4|PUNCT,$EXA:water $ADD:we-don't-want-to-spill-the $DEL:there's $DEL:in-there-dada $DIST = 2 $REP = 0.14,$NOT
tre02-annotated.txt,0,CHI,go sit down on duh padwo [: pillow] .,v|go v|sit adv|down prep|on co|duh n|pillow .,1|2|SRL 2|0|ROOT 3|2|JCT 4|2|JCT 5|6|COM 6|4|POBJ 7|2|PUNCT,,
tre02-annotated.txt,1,FAT,you want me to sit on the pillow ?,pro|you v|want pro:obj|me inf|to v|sit prep|on det|the n|pillow ?,1|2|SUBJ 2|0|ROOT 3|2|OBJ 4|5|INF 5|2|XCOMP 6|5|JCT 7|8|DET 8|6|POBJ 9|2|PUNCT,$EXA:sit-on $EXA:pillow $ADD:you-want-me-to $ADD:the $DEL:go $DEL:down $DEL:duh $DIST = 1 $REP = 0.38,$COF $ERR = umorph:det;$TYP=subst
tre02-annotated.txt,0,CHI,don't tuuk [: touch] my water .,mod|do~neg|not v|touch pro:poss:det|my n|water .,1|3|AUX 2|1|NEG 3|0|ROOT 4|5|MOD 5|3|OBJ 6|3|PUNCT,,
tre02-annotated.txt,1,FAT,don't touch your water ?,mod|do~neg|not v|touch pro:poss:det|your n|water ?,1|3|AUX 2|1|NEG 3|0|ROOT 4|5|MOD 5|3|OBJ 6|3|PUNCT,$EXA:do~not-touch $EXA:water $ADD:your $DEL:my $DIST = 1 $REP = 0.75,$NOT
tre02-annotated.txt,0,CHI,I gotta say cheese .,pro:sub|I mod:aux|gotta v|say n|cheese .,1|3|SUBJ 2|3|AUX 3|0|ROOT 4|3|OBJ 5|3|PUNCT,,
tre02-annotated.txt,1,FAT,you gotta cheese ?,pro|you mod:aux|gotta n|cheese ?,1|3|SUBJ 2|3|AUX 3|0|INCROOT 4|3|PUNCT,$EXA:gotta-cheese $ADD:you $DEL:i $DEL:say $DIST = 1 $REP = 0.67,$NOT
tre02-annotated.txt,0,CHI,xxx dat [: that's] dat [: that's] a hewicopteh [: helicopter] .,pro:dem|that~cop|be&3S pro:dem|that~cop|be&3S det|a n|helicopter .,1|2|SUBJ 2|4|LINK 3|4|SUBJ 4|0|ROOT 5|6|DET 6|4|PRED 7|4|PUNCT,,
