corpus,dialogue_id,uID,pairID,upairID,speaker,role,speaker_name,utterance,context_utterances,MLU,pos_tag,age,age_months
Brown,Brown_under_2/011000b.xml,u138,1,0,CHI,Target_Child,Eve,what happen it ?,"CHI: there .
MOT: thank you .
CHI: look my sweeper broke .
MOT: it broke ?
MOT: what happened to it ?",2.822,pro:int v pro:per,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u139,1,1,MOT,Mother,Sue,what happened to it ?,,3.92,pro:int v prep pro:per,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u140,1,2,MOT,Mother,Sue,it did break .,,3.92,pro:per mod v,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u376,2,0,CHI,Target_Child,Eve,Fraser where where where my toys ?,"MOT: that's right .
MOT: only Mommy can use it .
CHI: Cromer come on Wednesday .
COL: yeah .
CHI: have two .",2.822,n:prop pro:rel det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u377,2,1,MOT,Mother,Sue,where are your toys ?,,3.92,pro:int cop det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u378,2,2,MOT,Mother,Sue,I don't know .,,3.92,pro:sub mod v,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u568,3,0,CHI,Target_Child,Eve,where Christmas cookies ?,"CHI: Fraser need something else ?
COL: what ?
FAT: what Eve ?
FAT: what dear ?
CHI: Fraser want something else .",2.822,pro:int n:prop n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u569,3,1,MOT,Mother,Sue,where are the Christmas cookies ?,,3.92,pro:int cop det:art n:prop n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u570,3,2,MOT,Mother,Sue,they're all gone .,,3.92,pro:sub co,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u834,4,0,CHI,Target_Child,Eve,where my spoon ?,"MOT: climb in .
CHI: climb in .
CHI: move here .
MOT: you move right here .
CHI: look Fraser I have tapioca .",2.822,pro:rel det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u835,4,1,MOT,Mother,Sue,your spoon ?,,3.92,det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u836,4,2,MOT,Mother,Sue,well I'll get it for you .,,3.92,co pro:sub aux pro:per prep pro:per,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u24,1,0,CHI,Target_Child,Eve,Mom where Cromer ?,"CHI: go on my hair .
COL: oh yeah .
COL: they go in your hair .
CHI: write it down my pencil .
CHI: there .",2.841,n:prop pro:rel n:prop,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u25,1,1,MOT,Mother,Sue,where's Cromer ?,,3.771,pro:int n:prop,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u26,1,2,MOT,Mother,Sue,oh Cromer's at home .,,3.771,co n:prop prep n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u279,2,0,CHI,Target_Child,Eve,Mom where turtle ?,"CHI: thank you very much .
CHI: I playing game xxx Fraser .
CHI: that Eve .
CHI: I playing game with Fraser .
MOT: yes you are .",2.841,n:prop pro:rel n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u280,2,1,MOT,Mother,Sue,xxx the turtle ?,,3.771,det:art n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u281,2,2,MOT,Mother,Sue,I don't know .,,3.771,pro:sub mod v,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u383,3,0,CHI,Target_Child,Eve,Mom Mom pinch finger ?,"CHI: more piece a of cheese .
MOT: there's a cheese sandwich right here .
MOT: oh golly .
CHI: oh golly .
MOT: oh darn it .",2.841,n:prop n n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u384,3,1,MOT,Mother,Sue,pinch xxx finger ?,,3.771,n n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u385,3,2,MOT,Mother,Sue,no I didn't pinch my finger .,,3.771,co pro:sub mod v det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/010800.xml,u128,1,0,CHI,Target_Child,Eve,tinkertoy doing there ?,"CHI: Eve cry .
MOT: why were you crying ?
MOT: hm ?
CHI: Eve put blocks Mommy .
MOT: yes you help me put the blocks away .",1.963,part n,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u129,1,1,MOT,Mother,Sue,what is that tinkertoy doing in there ?,,3.704,pro:int cop comp part prep n,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u130,1,2,MOT,Mother,Sue,it doesn't belong in there .,,3.704,pro:per mod v prep n,P1Y08M00D,20.0
Brown,Brown_under_2/010600a.xml,u634,1,0,CHI,Target_Child,Eve,where top ?,"MOT: yes .
CHI: that ?
MOT: what is that ?
MOT: spool .
CHI: spool .",1.521,pro:int adj,P1Y06M00D,18.0
Brown,Brown_under_2/010600a.xml,u635,1,1,MOT,Mother,Sue,where's the top ?,,3.578,pro:int det:art n,P1Y06M00D,18.0
Brown,Brown_under_2/010600a.xml,u636,1,2,MOT,Mother,Sue,there isn't a top for that .,,3.578,adv cop det:art n prep pro:dem,P1Y06M00D,18.0
Brown,Brown_under_2/011100b.xml,u253,1,0,CHI,Target_Child,Eve,what Fraser you do ?,"MOT: we'll have some milk .
CHI: an cheese sandwich .
MOT: you want a cheese sandwich too ?
CHI: yep .
MOT: alright .",3.154,pro:int n:prop pro:per v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u254,1,1,MOT,Mother,Sue,what's he goin to do ?,,4.57,pro:int pro:sub part inf v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u255,1,2,MOT,Mother,Sue,well he's writing .,,4.57,co pro:sub part,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u376,2,0,CHI,Target_Child,Eve,Sue where where piece my eat ?,"MOT: you're eating just cheese .
CHI: what that ?
MOT: what is it ?
CHI: peanut butter .
MOT: that's right .",3.154,n:prop pro:rel v det:poss v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u377,2,1,MOT,Mother,Sue,where's the piece you eat ?,,4.57,pro:int det:art n pro:per v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u378,2,2,MOT,Mother,Sue,it fell on the floor .,,4.57,pro:per v prep det:art n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u401,3,0,CHI,Target_Child,Eve,where my tunnel ?,"CHI: my tunnel xxx .
COL: your tunnel is what ?
CHI: my tunnel
CHI: in the snow .
MOT: what's in the snow darling ?",3.154,pro:rel det:poss n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u402,3,1,MOT,Mother,Sue,your tunnel in the snow ?,,4.57,det:poss n prep det:art n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u403,3,2,MOT,Mother,Sue,yes .,,4.57,co,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u877,4,0,CHI,Target_Child,Eve,where my drum ?,"COL: I don't know .
CHI: I go get black an blue .
CHI: where my drum ?
CHI: where my drum ?
MOT: where's what Eve sweet ?",3.154,pro:rel det:poss n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u878,4,1,MOT,Mother,Sue,your drum ?,,4.57,det:poss n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u879,4,2,MOT,Mother,Sue,your drum is in the box .,,4.57,det:poss n cop prep det:art n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u880,5,0,CHI,Target_Child,Eve,where other stick ?,"CHI: where my drum ?
MOT: where's what Eve sweet ?
CHI: where my drum ?
MOT: your drum ?
MOT: your drum is in the box .",3.154,pro:int qn n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u881,5,1,MOT,Mother,Sue,where is the stick ?,,4.57,pro:int cop det:art n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u882,5,2,MOT,Mother,Sue,there's the drumstick .,,4.57,pro:exist det:art,P1Y11M00D,23.0
Brown,Brown_under_2/010900b.xml,u441,1,0,CHI,Target_Child,Eve,where xxx baby Sarah finger ?,"CHI: mine .
MOT: no it's not your turn yet .
MOT: just wait for a minute .
CHI: baby Sarah now .
MOT: it's baby Sarah's turn now .",2.229,pro:int n n:prop n,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u442,1,1,MOT,Mother,Sue,where're her fingers ?,,3.774,pro:int det:poss n,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u443,1,2,MOT,Mother,Sue,well they're inside her nightie .,,3.774,co pro:sub prep det:poss n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u420,1,0,CHI,Target_Child,Eve,where Eve crayon ?,"CHI: taperecorder it go round round .
COL: m hm .
CHI: taperecorder go round an round .
COL: why does it go round and round ?
CHI: taperecorder go round xxx round .",2.486,pro:int n:prop n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u421,1,1,MOT,Mother,Sue,where's your crayons ?,,3.953,pro:int det:poss n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u422,1,2,MOT,Mother,Sue,well I put them back in the toy box .,,3.953,co pro:sub v pro:obj adv prep det:art n n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1323,2,0,CHI,Target_Child,Eve,where bell ?,"CHI: going see Jack an Jerry .
MOT: going to see Jack an Jerry is he ?
MOT: what's he gonna do when gets there ?
MOT: hm ?
MOT: what she gonna do when he goes to see Jack an Jerry ?",2.486,pro:rel n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1324,2,1,MOT,Mother,Sue,where's the bell ?,,3.953,pro:int det:art n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1325,2,2,MOT,Mother,Sue,there it is .,,3.953,adv pro:per cop,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1736,3,0,CHI,Target_Child,Eve,where put ?,"MOT: I don't know
CHI: where Eve pencil ?
MOT: it's on the table by Fraser's coffee .
CHI: where Eve crayon ?
CHI: where put ?",2.486,pro:int part,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1737,3,1,COL,Investigator,Colin,where did I put them ?,,4.073,pro:int mod pro:sub v pro:obj,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1738,3,2,COL,Investigator,Colin,I put them back in here just for a minute .,,4.073,pro:sub v pro:obj adv prep n adv prep det:art n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1929,4,0,CHI,Target_Child,Eve,where Papa ?,"COL: did you put the lion on ?
CHI: no .
COL: what did you do ?
CHI: xxx put lion in .
CHI: where Papa ?",2.486,pro:int n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1930,4,1,MOT,Mother,Sue,where did he go ?,,3.953,pro:int mod pro:sub v,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1931,4,2,MOT,Mother,Sue,you find him .,,3.953,pro:per v pro:obj,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1948,5,0,CHI,Target_Child,Eve,where baby Sarah rattle ?,"CHI: move a pillow .
MOT: no move the chair .
MOT: move it by the pillow .
MOT: can you move it ?
CHI: yeah .",2.486,pro:int n n:prop n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1949,5,1,MOT,Mother,Sue,where is her rattle ?,,3.953,pro:int cop det:poss n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1950,5,2,MOT,Mother,Sue,I don't know .,,3.953,pro:sub mod v,P1Y09M00D,21.0
Brown,Brown_under_2/010900a.xml,u608,1,0,CHI,Target_Child,Eve,where Eve ?,"CHI: book .
CHI: that ?
MOT: what is that ?
CHI: Papa book .
MOT: m hm .",2.272,pro:int n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900a.xml,u609,1,1,MOT,Mother,Sue,where is Eve ?,,3.85,pro:int cop n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900a.xml,u610,1,2,MOT,Mother,Sue,there she is .,,3.85,adv pro:sub cop,P1Y09M00D,21.0
Brown,Brown_under_2/010900a.xml,u1028,2,0,CHI,Target_Child,Eve,where Papa go ?,"MOT: you like that ?
CHI: where Pap go ?
MOT: I can't understand you with your mouth full .
MOT: chew it up and tell me again .
MOT: Eve what did you say ?",2.272,pro:int n:prop v,P1Y09M00D,21.0
Brown,Brown_under_2/010900a.xml,u1029,2,1,MOT,Mother,Sue,where did Papa go ?,,3.85,pro:int mod n:prop v,P1Y09M00D,21.0
Brown,Brown_under_2/010900a.xml,u1030,2,2,MOT,Mother,Sue,he went upstairs but he's back now .,,3.85,pro:sub v conj pro:sub adv adv:tem,P1Y09M00D,21.0
Sachs,Sachs_under_2/011010a.xml,u213,1,0,CHI,Target_Child,Naomi,where's moon ?,"MOT: your foot ?
MOT: your foot hurts ?
CHI: bang foot .
MOT: you banged your foot ?
MOT: you're banging it into the metal on the high chair .",1.559,pro:int n,P1Y10M10D,22.0
Sachs,Sachs_under_2/011010a.xml,u214,1,1,MOT,Mother,,where's the moon ?,,4.506,pro:int det:art n,P1Y10M10D,22.0
Sachs,Sachs_under_2/011010a.xml,u215,1,2,MOT,Mother,,the moon is sleeping .,,4.506,det:art n aux part,P1Y10M10D,22.0
Sachs,Sachs_under_2/011003.xml,u113,1,0,CHI,Target_Child,Naomi,what's this ?,"CHI: clothes on .
MOT: what's Georgie doing ?
CHI: pants on .
MOT: what's Georgie doing honey ?
CHI: Georgie eating .",1.497,pro:int pro:dem,P1Y10M03D,22.0
Sachs,Sachs_under_2/011003.xml,u114,1,1,MOT,Mother,,what's what ?,,4.876,pro:int pro:int,P1Y10M03D,22.0
Sachs,Sachs_under_2/011003.xml,u115,1,2,MOT,Mother,,oh that's a sheet honey a sheet .,,4.876,co pro:dem det:art n n det:art n,P1Y10M03D,22.0
Sachs,Sachs_under_2/011003.xml,u197,2,0,CHI,Target_Child,Naomi,where's diaper ?,"MOT: boy have you got a big bundle .
MOT: boy have you got a big bundle .
MOT: Mommy will help you honey Mommy will help you honey .
MOT: there's too many for Nomi to carry .
CHI: where's diaper ?",1.497,pro:int n,P1Y10M03D,22.0
Sachs,Sachs_under_2/011003.xml,u198,2,1,MOT,Mother,,where's the diapers ?,,4.876,pro:int det:art n,P1Y10M03D,22.0
Sachs,Sachs_under_2/011003.xml,u199,2,2,MOT,Mother,,I put them right up here honey .,,4.876,pro:sub v pro:obj adv prep n n,P1Y10M03D,22.0
Manchester,Manchester_under_2/011103.xml,u132,1,0,CHI,Target_Child,Carl,what doing Goggins ?,"MOT: oh look she's cleaning .
MOT: clean clean clean .
MOT: Pat says good morning .
MOT: good morning .
CHI: what you doing Goggins ?",1.936,pro:int part n:prop,P1Y11M03D,23.0
Manchester,Manchester_under_2/011103.xml,u133,1,1,MOT,Mother,Mother,what're you doing ?,,3.719,pro:int pro:per part,P1Y11M03D,23.0
Manchester,Manchester_under_2/011103.xml,u134,1,2,MOT,Mother,Mother,Missis Goggins .,,3.719,n:prop,P1Y11M03D,23.0
Manchester,Manchester_under_2/011103.xml,u1257,2,0,CHI,Target_Child,Carl,Mummy what happened ?,"CHI: there noise .
MOT: yeah he's making a noise isn't he ?
MOT: a big noise .
CHI: choo choo .
CHI: choo choo .",1.936,n:prop pro:int v,P1Y11M03D,23.0
Manchester,Manchester_under_2/011103.xml,u1258,2,1,MOT,Mother,Mother,oh dear what happened ?,,3.719,co n pro:int v,P1Y11M03D,23.0
Manchester,Manchester_under_2/011103.xml,u1259,2,2,MOT,Mother,Mother,oh look .,,3.719,co n,P1Y11M03D,23.0
Manchester,Manchester_under_2/011103.xml,u1329,3,0,CHI,Target_Child,Carl,what doing Nana ?,"CHI: what doing Nana ?
CHI: hi Nana .
MOT: hi Nana .
CHI: what you doing Gran .
CHI: doing ?",1.936,pro:int part n:prop,P1Y11M03D,23.0
Manchester,Manchester_under_2/011103.xml,u1330,3,1,MOT,Mother,Mother,what's Nana doing ?,,3.719,pro:int n:prop part,P1Y11M03D,23.0
Manchester,Manchester_under_2/011103.xml,u1331,3,2,MOT,Mother,Mother,well you can ask her what's she doing .,,3.719,co pro:per mod v pro:obj pro:int pro:sub part,P1Y11M03D,23.0
Manchester,Manchester_under_2/011115.xml,u199,1,0,CHI,Target_Child,Carl,where's he gone Thomas ?,"CHI: The Tank .
CHI: Thomas and the Tank .
MOT: Thomas the Tank engine .
CHI: all right .
CHI: Thomas Tank .",1.912,pro:int pro:sub part n:prop,P1Y11M15D,23.0
Manchester,Manchester_under_2/011115.xml,u200,1,1,MOT,Mother,Mother,oh where's the other Thomas ?,,3.805,co pro:int det:art qn n:prop,P1Y11M15D,23.0
Manchester,Manchester_under_2/011115.xml,u201,1,2,MOT,Mother,Mother,don't know .,,3.805,mod v,P1Y11M15D,23.0
Manchester,Manchester_under_2/011104.xml,u54,1,0,CHI,Target_Child,Anne,what this doing ?,"MOT: I think that bit goes there .
MOT: that's right .
MOT: does it matter what what it's sposta be do you think ?
CHI: a bit down .
CHI: oh .",1.574,pro:int det:dem part,P1Y11M04D,23.0
Manchester,Manchester_under_2/011104.xml,u56,1,1,INV,Investigator,Caroline,what is it ?,,2.417,pro:int cop pro:per,P1Y11M04D,23.0
Manchester,Manchester_under_2/011104.xml,u57,1,2,INV,Investigator,Caroline,that's a bit of rail track .,,2.417,pro:dem det:art n prep n n,P1Y11M04D,23.0
Manchester,Manchester_under_2/011104.xml,u807,2,0,CHI,Target_Child,Anne,where this fit ?,"MOT: oh .
MOT: that doesn't look very nice .
MOT: err .
CHI: err .
MOT: err .",1.574,pro:int det:dem v,P1Y11M04D,23.0
Manchester,Manchester_under_2/011104.xml,u808,2,1,MOT,Mother,,where's this fit ?,,3.346,pro:int pro:dem v,P1Y11M04D,23.0
Manchester,Manchester_under_2/011104.xml,u809,2,2,MOT,Mother,,oh Anne .,,3.346,co n:prop,P1Y11M04D,23.0
Manchester,Manchester_under_2/010928.xml,u571,1,0,CHI,Target_Child,Carl,where's the bus gone ?,"CHI: where bus gone ?
MOT: well you you find Percy .
MOT: you find Percy for Mummy .
MOT: you find Percy for Mummy .
CHI: where's the bus ?",2.018,pro:int det:art n part,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u572,1,1,MOT,Mother,Mother,where's Percy gone ?,,3.751,pro:int n:prop part,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u573,1,2,MOT,Mother,Mother,Mummy won't willn't be a second .,,3.751,n:prop mod cop det:art n,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u670,2,0,CHI,Target_Child,Carl,where Pooh ?,"MOT: hey that's not nice .
CHI: where Percy gone ?
MOT: see look .
MOT: oh look .
MOT: I can see Pooh .",2.018,pro:int n:prop,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u671,2,1,MOT,Mother,Mother,where's Pooh ?,,3.751,pro:int n:prop,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u672,2,2,MOT,Mother,Mother,there's Winnie the Pooh .,,3.751,pro:exist n:prop,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u1073,3,0,CHI,Target_Child,Carl,where is the bag ?,"MOT: teddy's in the car .
MOT: Carl .
MOT: Carl .
MOT: why don't you look in that bag ?
MOT: tell tell Mummy what's in that bag .",2.018,pro:int cop det:art n,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u1074,3,1,MOT,Mother,Mother,where's the bag ?,,3.751,pro:int det:art n,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u1075,3,2,MOT,Mother,Mother,there .,,3.751,adv,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u1112,4,0,CHI,Target_Child,Carl,where the whee the baby ?,"CHI: ow .
MOT: didn't hurt .
CHI: oh whee .
CHI: the baby .
CHI: where the baby ?",2.018,pro:int det:art co det:art n,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u1113,4,1,MOT,Mother,Mother,where's the baby ?,,3.751,pro:int det:art n,P1Y09M28D,22.0
Manchester,Manchester_under_2/010928.xml,u1114,4,2,MOT,Mother,Mother,Mummy gave the baby to you .,,3.751,n:prop v det:art n prep pro:per,P1Y09M28D,22.0
