corpus,dialogue_id,uID,pairID,upairID,speaker,role,speaker_name,utterance,MLU,pos_tag,age,age_months
Brown,Brown_under_2/011000b.xml,u138,1,0,CHI,Target_Child,Eve,what happen it ?,2.822,pro:int v pro:per,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u139,1,1,MOT,Mother,Sue,what happened to it ?,3.92,pro:int v prep pro:per,,
Brown,Brown_under_2/011000b.xml,u291,2,0,CHI,Target_Child,Eve,what i Fraser doing ?,2.822,pro:int aux n:prop part,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u292,2,1,MOT,Mother,Sue,what is Fraser doing ?,3.92,pro:int aux n:prop part,,
Brown,Brown_under_2/011000b.xml,u376,3,0,CHI,Target_Child,Eve,Fraser where where where my toys ?,2.822,n:prop pro:rel det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u377,3,1,MOT,Mother,Sue,where are your toys ?,3.92,pro:int cop det:poss n,,
Brown,Brown_under_2/011000b.xml,u568,4,0,CHI,Target_Child,Eve,where Christmas cookies ?,2.822,pro:int n:prop n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u569,4,1,MOT,Mother,Sue,where are the Christmas cookies ?,3.92,pro:int cop det:art n:prop n,,
Brown,Brown_under_2/011000b.xml,u573,5,0,CHI,Target_Child,Eve,where Christmas cookies ?,2.822,pro:int n:prop n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u574,5,1,MOT,Mother,Sue,where are they ?,3.92,pro:int cop pro:sub,,
Brown,Brown_under_2/011000b.xml,u834,6,0,CHI,Target_Child,Eve,where my spoon ?,2.822,pro:rel det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u835,6,1,MOT,Mother,Sue,your spoon ?,3.92,det:poss n,,
Brown,Brown_under_2/011000a.xml,u24,1,0,CHI,Target_Child,Eve,Mom where Cromer ?,2.841,n:prop pro:rel n:prop,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u25,1,1,MOT,Mother,Sue,where's Cromer ?,3.771,pro:int n:prop,,
Brown,Brown_under_2/011000a.xml,u189,2,0,CHI,Target_Child,Eve,what am I doing ?,2.841,pro:int cop pro:sub part,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u190,2,1,COL,Investigator,Colin,yeah what are you doing ?,3.846,co pro:int aux pro:per part,,
Brown,Brown_under_2/011000a.xml,u279,3,0,CHI,Target_Child,Eve,Mom where turtle ?,2.841,n:prop pro:rel n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u280,3,1,MOT,Mother,Sue,xxx the turtle ?,3.771,det:art n,,
Brown,Brown_under_2/011000a.xml,u383,4,0,CHI,Target_Child,Eve,Mom Mom pinch finger ?,2.841,n:prop n n,P1Y10M00D,22.0
