corpus,dialogue_id,uID,pairID,upairID,speaker,role,speaker_name,utterance,context_utterances,MLU,pos_tag,age,age_months
Brown,Brown_under_2/011000b.xml,u138,1,0,CHI,Target_Child,Eve,what happen it ?,"CHI: there .
MOT: thank you .
CHI: look my sweeper broke .
MOT: it broke ?
MOT: what happened to it ?",2.822,pro:int v pro:per,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u139,1,1,MOT,Mother,Sue,what happened to it ?,,3.92,pro:int v prep pro:per,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u291,2,0,CHI,Target_Child,Eve,what i Fraser doing ?,"MOT: who is that ?
CHI: Gordon .
MOT: what's he doing ?
CHI: sitting on the couch .
MOT: sure he is .",2.822,pro:int aux n:prop part,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u292,2,1,MOT,Mother,Sue,what is Fraser doing ?,,3.92,pro:int aux n:prop part,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u376,3,0,CHI,Target_Child,Eve,Fraser where where where my toys ?,"MOT: that's right .
MOT: only Mommy can use it .
CHI: Cromer come on Wednesday .
COL: yeah .
CHI: have two .",2.822,n:prop pro:rel det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u377,3,1,MOT,Mother,Sue,where are your toys ?,,3.92,pro:int cop det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u568,4,0,CHI,Target_Child,Eve,where Christmas cookies ?,"CHI: Fraser need something else ?
COL: what ?
FAT: what Eve ?
FAT: what dear ?
CHI: Fraser want something else .",2.822,pro:int n:prop n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u569,4,1,MOT,Mother,Sue,where are the Christmas cookies ?,,3.92,pro:int cop det:art n:prop n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u573,5,0,CHI,Target_Child,Eve,where Christmas cookies ?,"CHI: where Christmas cookies ?
MOT: where are the Christmas cookies ?
MOT: they're all gone .
CHI: where Christmas cookies ?
MOT: we ate them all .",2.822,pro:int n:prop n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u574,5,1,MOT,Mother,Sue,where are they ?,,3.92,pro:int cop pro:sub,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u834,6,0,CHI,Target_Child,Eve,where my spoon ?,"MOT: climb in .
CHI: climb in .
CHI: move here .
MOT: you move right here .
CHI: look Fraser I have tapioca .",2.822,pro:rel det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000b.xml,u835,6,1,MOT,Mother,Sue,your spoon ?,,3.92,det:poss n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u24,1,0,CHI,Target_Child,Eve,Mom where Cromer ?,"CHI: go on my hair .
COL: oh yeah .
COL: they go in your hair .
CHI: write it down my pencil .
CHI: there .",2.841,n:prop pro:rel n:prop,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u25,1,1,MOT,Mother,Sue,where's Cromer ?,,3.771,pro:int n:prop,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u189,2,0,CHI,Target_Child,Eve,what am I doing ?,"FAT: here's your pad Eve .
FAT: get your paper .
CHI: no .
FAT: what are you doing to Fraser's paper ?
COL: what are you doing ?",2.841,pro:int cop pro:sub part,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u190,2,1,COL,Investigator,Colin,yeah what are you doing ?,,3.846,co pro:int aux pro:per part,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u279,3,0,CHI,Target_Child,Eve,Mom where turtle ?,"CHI: thank you very much .
CHI: I playing game xxx Fraser .
CHI: that Eve .
CHI: I playing game with Fraser .
MOT: yes you are .",2.841,n:prop pro:rel n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u280,3,1,MOT,Mother,Sue,xxx the turtle ?,,3.771,det:art n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u383,4,0,CHI,Target_Child,Eve,Mom Mom pinch finger ?,"CHI: more piece a of cheese .
MOT: there's a cheese sandwich right here .
MOT: oh golly .
CHI: oh golly .
MOT: oh darn it .",2.841,n:prop n n,P1Y10M00D,22.0
Brown,Brown_under_2/011000a.xml,u384,4,1,MOT,Mother,Sue,pinch xxx finger ?,,3.771,n n,P1Y10M00D,22.0
Brown,Brown_under_2/010800.xml,u128,1,0,CHI,Target_Child,Eve,tinkertoy doing there ?,"CHI: Eve cry .
MOT: why were you crying ?
MOT: hm ?
CHI: Eve put blocks Mommy .
MOT: yes you help me put the blocks away .",1.963,part n,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u129,1,1,MOT,Mother,Sue,what is that tinkertoy doing in there ?,,3.704,pro:int cop comp part prep n,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u1415,2,0,CHI,Target_Child,Eve,horsie doing ?,"RIC: that one's a kind of a triangle hat isn't it ?
RIC: now what's happening ?
CHI: horsie .
RIC: horsie .
RIC: what's the horsie doing ?",1.963,n part,P1Y08M00D,20.0
Brown,Brown_under_2/010800.xml,u1416,2,1,RIC,Investigator,Richard,what is the horsie doing ?,,3.394,pro:int aux det:art n part,P1Y08M00D,20.0
Brown,Brown_under_2/010600a.xml,u634,1,0,CHI,Target_Child,Eve,where top ?,"MOT: yes .
CHI: that ?
MOT: what is that ?
MOT: spool .
CHI: spool .",1.521,pro:int adj,P1Y06M00D,18.0
Brown,Brown_under_2/010600a.xml,u635,1,1,MOT,Mother,Sue,where's the top ?,,3.578,pro:int det:art n,P1Y06M00D,18.0
Brown,Brown_under_2/010600a.xml,u685,2,0,CHI,Target_Child,Eve,man no taste it ?,"CHI: taste it .
MOT: be careful .
CHI: be careful .
CHI: careful .
CHI: man xxx taste it ?",1.521,v qn n pro:per,P1Y06M00D,18.0
Brown,Brown_under_2/010600a.xml,u686,2,1,MOT,Mother,Sue,man what ?,,3.578,v pro:int,P1Y06M00D,18.0
Brown,Brown_under_2/010600a.xml,u973,3,0,CHI,Target_Child,Eve,sit down ?,"CHI: a Becky .
MOT: you can see Becky later .
CHI: a Becky Mommy ?
MOT: what ?
MOT: where you going ?",1.521,v adv,P1Y06M00D,18.0
Brown,Brown_under_2/010600a.xml,u974,3,1,MOT,Mother,Sue,you want me to sit down ?,,3.578,pro:per v pro:obj inf v adv,P1Y06M00D,18.0
Brown,Brown_under_2/011100a.xml,u181,1,0,CHI,Target_Child,Eve,where Papa ?,"MOT: oh a cheese sandwich ?
MOT: would you eat it if I fixed it for you ?
CHI: yeah .
MOT: I'll fix it for you but you must eat it .
CHI: okay .",2.801,pro:int n:prop,P1Y11M00D,23.0
Brown,Brown_under_2/011100a.xml,u182,1,1,MOT,Mother,Sue,where is Papa ?,,4.221,pro:int cop n:prop,P1Y11M00D,23.0
Brown,Brown_under_2/011100a.xml,u648,2,0,CHI,Target_Child,Eve,Pap where you cookbook ?,"MOT: let me put more water in the teakettle .
CHI: Sue what's that ?
MOT: what ?
MOT: who ?
MOT: who is it ?",2.801,n:prop pro:rel pro:per,P1Y11M00D,23.0
Brown,Brown_under_2/011100a.xml,u649,2,1,FAT,Father,David,my cookbook ?,,4.063,det:poss,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u90,1,0,CHI,Target_Child,Eve,what that ?,"COL: we did have a party .
CHI: Pap you have fix other plate because it broke .
FAT: oh the cake plate .
FAT: the happy birthday plate .
CHI: it broke .",3.154,pro:int comp,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u91,1,1,FAT,Father,David,what is that ?,,4.167,pro:int cop pro:dem,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u137,2,0,CHI,Target_Child,Eve,what that ?,"CHI: yeah .
CHI: look Fraser .
MOT: very good .
CHI: Mom fix it for me .
CHI: oh where you coffee ?",3.154,pro:int comp,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u138,2,1,FAT,Father,David,well what is it ?,,4.167,co pro:int cop pro:per,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u145,3,0,CHI,Target_Child,Eve,what that Papa ?,"CHI: let me read it for you .
FAT: oh I don't think you can read it .
CHI: I have put that in there .
FAT: thank you .
CHI: you can't have another pocket in you pocket .",3.154,pro:int comp n:prop,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u146,3,1,FAT,Father,David,what is it ?,,4.167,pro:int cop pro:per,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u253,4,0,CHI,Target_Child,Eve,what Fraser you do ?,"MOT: we'll have some milk .
CHI: an cheese sandwich .
MOT: you want a cheese sandwich too ?
CHI: yep .
MOT: alright .",3.154,pro:int n:prop pro:per v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u254,4,1,MOT,Mother,Sue,what's he goin to do ?,,4.57,pro:int pro:sub part inf v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u323,5,0,CHI,Target_Child,Eve,where other one ?,"CHI: no .
MOT: Eve .
MOT: you're not to pee pee in your big girl pants .
CHI: that birthday card .
CHI: that a birthday card .",3.154,pro:int qn pro:indef,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u324,5,1,COL,Investigator,Colin,where's the other one ?,,3.538,pro:int det:art qn pro:indef,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u372,6,0,CHI,Target_Child,Eve,what that ?,"CHI: it cold .
MOT: I know it's cold .
CHI: good sandwich .
MOT: you don't have a sandwich yet .
MOT: you're eating just cheese .",3.154,pro:int comp,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u373,6,1,MOT,Mother,Sue,what is it ?,,4.57,pro:int cop pro:per,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u376,7,0,CHI,Target_Child,Eve,Sue where where piece my eat ?,"MOT: you're eating just cheese .
CHI: what that ?
MOT: what is it ?
CHI: peanut butter .
MOT: that's right .",3.154,n:prop pro:rel v det:poss v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u377,7,1,MOT,Mother,Sue,where's the piece you eat ?,,4.57,pro:int det:art n pro:per v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u401,8,0,CHI,Target_Child,Eve,where my tunnel ?,"CHI: my tunnel xxx .
COL: your tunnel is what ?
CHI: my tunnel
CHI: in the snow .
MOT: what's in the snow darling ?",3.154,pro:rel det:poss n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u402,8,1,MOT,Mother,Sue,your tunnel in the snow ?,,4.57,det:poss n prep det:art n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u550,9,0,CHI,Target_Child,Eve,Sue where Sarah go ?,"CHI: downstairs .
CHI: where Mom ?
COL: I don't know ?
COL: where is she ?
CHI: outside .",3.154,n:prop pro:rel n:prop v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u551,9,1,MOT,Mother,Sue,where did she go ?,,4.57,pro:int mod pro:sub v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u558,10,0,CHI,Target_Child,Eve,may I have piece ?,"MOT: that's not mine .
MOT: that's yours .
MOT: you have two apples .
MOT: two pieces .
MOT: two pieces of apple .",3.154,mod pro:sub v n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u559,10,1,MOT,Mother,Sue,d you want a piece of your birthday cake ?,,4.57,mod pro:per v det:art n prep det:poss n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u568,11,0,CHI,Target_Child,Eve,Sue what Colin name ?,"MOT: eat your birthday sandwich ?
MOT: don't be silly .
MOT: that's a cheese sandwich .
MOT: birthday cake .
CHI: birthday cake .",3.154,n:prop pro:int n:prop n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u569,11,1,MOT,Mother,Sue,what's the what's name ?,,4.57,pro:int det:art pro:int n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u728,12,0,CHI,Target_Child,Eve,what xxx that ?,"CHI: when the wind blows cradle will rock .
CHI: down came baby cradle will rock .
MOT: are you rocking your dolly to sleep ?
CHI: there my birthday cards .
CHI: there birthday card .",3.154,pro:int comp,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u729,12,1,COL,Investigator,Colin,what is it ?,,3.538,pro:int cop pro:per,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u877,13,0,CHI,Target_Child,Eve,where my drum ?,"COL: I don't know .
CHI: I go get black an blue .
CHI: where my drum ?
CHI: where my drum ?
MOT: where's what Eve sweet ?",3.154,pro:rel det:poss n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u878,13,1,MOT,Mother,Sue,your drum ?,,4.57,det:poss n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u880,14,0,CHI,Target_Child,Eve,where other stick ?,"CHI: where my drum ?
MOT: where's what Eve sweet ?
CHI: where my drum ?
MOT: your drum ?
MOT: your drum is in the box .",3.154,pro:int qn n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u881,14,1,MOT,Mother,Sue,where is the stick ?,,4.57,pro:int cop det:art n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u1107,15,0,CHI,Target_Child,Eve,what the dolly have ?,"CHI: a Papa .
CHI: a Papa .
CHI: that dolly .
CHI: dolly .
CHI: dollies what that ?",3.154,pro:int det:art n v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u1108,15,1,COL,Investigator,Colin,what does the dolly have ?,,3.538,pro:int mod det:art n v,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u1198,16,0,CHI,Target_Child,Eve,where Frosty ?,"CHI: those are my mitten ?
MOT: yes those are your mittens .
MOT: those are your mittens .
CHI: Sue what on there ?
MOT: xxx peanut butter .",3.154,pro:int n:prop,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u1199,16,1,MOT,Mother,Sue,where's Frosty ?,,4.57,pro:int n:prop,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u1260,17,0,CHI,Target_Child,Eve,what Cromer name ?,"COL: what's your name ?
CHI: Babby Babby .
COL: that's your name ?
COL: what's my name ?
CHI: Fraser .",3.154,pro:int n:prop n,P1Y11M00D,23.0
Brown,Brown_under_2/011100b.xml,u1261,17,1,COL,Investigator,Colin,yeah what's Cromer's name ?,,3.538,co pro:int adj n,P1Y11M00D,23.0
Brown,Brown_under_2/010900b.xml,u235,1,0,CHI,Target_Child,Eve,doing Mama ?,"MOT: get Mommy's stool .
MOT: you sit down here on Mommy's stool .
CHI: I sit sit down Eve stool .
MOT: oh you wanna sit on Eve's stool ?
MOT: alright .",2.229,part n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u236,1,1,MOT,Mother,Sue,what am I doing ?,,3.774,pro:int cop pro:sub part,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u441,2,0,CHI,Target_Child,Eve,where xxx baby Sarah finger ?,"CHI: mine .
MOT: no it's not your turn yet .
MOT: just wait for a minute .
CHI: baby Sarah now .
MOT: it's baby Sarah's turn now .",2.229,pro:int n n:prop n,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u442,2,1,MOT,Mother,Sue,where're her fingers ?,,3.774,pro:int det:poss n,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u482,3,0,CHI,Target_Child,Eve,where Papa ?,"MOT: yep .
CHI: baby Sarah .
MOT: uhhuh .
CHI: mine .
MOT: no it's baby Sarah's .",2.229,pro:int n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u483,3,1,MOT,Mother,Sue,where is Papa ?,,3.774,pro:int cop n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u524,4,0,CHI,Target_Child,Eve,where Papa ?,"MOT: baby Sarah's turn .
MOT: alright .
MOT: would you give the bottle to Papa so he can rinse the nipple for me .
MOT: give it to Papa so he can rinse the nipple for us please .
CHI: Papa rinse nipple .",2.229,pro:int n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u525,4,1,MOT,Mother,Sue,where is Papa ?,,3.774,pro:int cop n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u703,5,0,CHI,Target_Child,Eve,where Clip clop ?,"CHI: clop clop .
MOT: Clip clop .
CHI: Clip clop .
MOT: that's right .
CHI: where Clip clop ?",2.229,pro:int n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u704,5,1,MOT,Mother,Sue,where is he ?,,3.774,pro:int cop pro:sub,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u721,6,0,CHI,Target_Child,Eve,where Clip clop ?,"MOT: Mister Marks .
CHI: dat that ?
MOT: what is that ?
CHI: Clip clop .
MOT: right .",2.229,pro:int n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u722,6,1,MOT,Mother,Sue,where is Clip clop ?,,3.774,pro:int cop n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u928,7,0,CHI,Target_Child,Eve,xxx what happen ?,"MOT: then put it away .
MOT: now don't touch it again .
MOT: leave it lay right there .
MOT: leave it alone .
MOT: don't touch it again .",2.229,pro:int v,P1Y09M00D,21.0
Brown,Brown_under_2/010900b.xml,u929,7,1,COL,Investigator,Colin,what happened ?,,3.701,pro:int v,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u38,1,0,CHI,Target_Child,Eve,where Papa ?,"CHI: in a minute .
COL: m hm .
COL: what will we do in a minute ?
COL: eh ?
CHI: where Papa ?",2.486,pro:int n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u39,1,1,MOT,Mother,Sue,where is Papa ?,,3.953,pro:int cop n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u320,2,0,CHI,Target_Child,Eve,what doing Mama ?,"CHI: more piece a of cheese .
MOT: d you wan a cheese sandwich ?
CHI: yeah more .
MOT: well we'll have more .
MOT: yeah .",2.486,pro:int part n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u321,2,1,MOT,Mother,Sue,what am I doing ?,,3.953,pro:int cop pro:sub part,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u341,3,0,CHI,Target_Child,Eve,what doing Mama ?,"CHI: no Fraser no Fraser .
COL: no ?
CHI: no .
MOT: why not ?
CHI: why not ?",2.486,pro:int part n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u342,3,1,MOT,Mother,Sue,what am I doing Eve ?,,3.953,pro:int cop pro:sub part n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u420,4,0,CHI,Target_Child,Eve,where Eve crayon ?,"CHI: taperecorder it go round round .
COL: m hm .
CHI: taperecorder go round an round .
COL: why does it go round and round ?
CHI: taperecorder go round xxx round .",2.486,pro:int n:prop n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u421,4,1,MOT,Mother,Sue,where's your crayons ?,,3.953,pro:int det:poss n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u912,5,0,CHI,Target_Child,Eve,where shovel ?,"MOT: oh I don't know .
CHI: where shovel ?
MOT: huh ?
CHI: where shovel ?
MOT: where's the what ?",2.486,pro:int n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u913,5,1,MOT,Mother,Sue,the shovel ?,,3.953,det:art n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1323,6,0,CHI,Target_Child,Eve,where bell ?,"CHI: going see Jack an Jerry .
MOT: going to see Jack an Jerry is he ?
MOT: what's he gonna do when gets there ?
MOT: hm ?
MOT: what she gonna do when he goes to see Jack an Jerry ?",2.486,pro:rel n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1324,6,1,MOT,Mother,Sue,where's the bell ?,,3.953,pro:int det:art n,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1530,7,0,CHI,Target_Child,Eve,xxx doing Mama ?,"MOT: ah that's what it was .
MOT: it was coat .
CHI: pocket in coat .
MOT: coat yes .
MOT: pockets in his coat .",2.486,part n:prop,P1Y09M00D,21.0
Brown,Brown_under_2/010900c.xml,u1531,7,1,MOT,Mother,Sue,what am I doing ?,,3.953,pro:int cop pro:sub part,P1Y09M00D,21.0
